Movie,Rating,Genre,Director,Actor1,Actor2,Budget,Revenue_US,Revenue_World,Date
61*,7.8,Biography,Billy Crystal,Barry Pepper,Thomas Jane,0,0,0,0
The Corrupted,5.6,Crime,Ron Scalpello,Sam Claflin,Timothy Spall,0,0,0,0
Action Jackson,5.5,Action,Craig R. Baxley,Carl Weathers,Craig T. Nelson,0,0,0,0
Godzilla: Planet of the Monsters,6,Animation,KÃ´bun Shizuno,Hiroyuki Seshita,Takahiro Sakurai,0,0,0,0
Show Me Love,7.5,Comedy,Lukas Moodysson,Alexandra DahlstrÃ¶m,Rebecka Liljeberg,0,0,0,0
See No Evil 2,4.7,Action,Sylvia Soska,Jen Soska,Danielle Harris,0,0,0,0
Million Dollar Arm,7,Biography,Craig Gillespie,Jon Hamm,Aasif Mandvi,0,0,0,0
The Final Cut,6.2,Drama,Omar Naim,Robin Williams,Jim Caviezel,0,0,0,0
Mara,5.1,Crime,Clive Tonge,Olga Kurylenko,Craig Conway,0,0,0,0
Miracle Mile,7,Action,Steve De Jarnatt,Anthony Edwards,Mare Winningham,0,0,0,0
Farewell My Concubine,8.1,Drama,Kaige Chen,Leslie Cheung,Fengyi Zhang,0,0,0,0
Harriet the Spy,5.9,Comedy,Bronwen Hughes,Michelle Trachtenberg,Rosie O'Donnell,0,0,0,0
The Librarian: Quest for the Spear,6.3,Action,Peter Winther,Noah Wyle,Sonya Walger,0,0,0,0
Things to Do in Denver When You're Dead,6.8,Crime,Gary Fleder,Andy Garcia,Christopher Walken,0,0,0,0
Air America,5.9,Action,Roger Spottiswoode,Mel Gibson,Robert Downey Jr.,0,0,0,0
My Father and My Son,8.3,Drama,Ãagan Irmak,Eser Sariyar,Ãetin Tekindor,0,0,0,0
District B13,7.2,Action,Pierre Morel,Cyril Raffaelli,David Belle,0,0,0,0
Lupin III: The First,6.9,Animation,Takashi Yamazaki,Kan'ichi Kurita,Kiyoshi Kobayashi,0,0,0,0
The Astronaut's Wife,5.4,Drama,Rand Ravich,Charlize Theron,Johnny Depp,0,0,0,0
Cloned: The Recreator Chronicles,4.4,Sci-Fi,Gregory Orr,Stella Maeve,Alexander Nifong,0,0,0,0
Meek's Cutoff,6.6,Adventure,Kelly Reichardt,Michelle Williams,Bruce Greenwood,0,0,0,0
Love Stinks,5.8,Comedy,Jeff Franklin,French Stewart,Bridgette Wilson-Sampras,0,0,0,0
Tucker: The Man and His Dream,6.9,Biography,Francis Ford Coppola,Jeff Bridges,Joan Allen,0,0,0,0
A Frozen Flower,7.1,Drama,Ha Yoo,In-Sung Jo,Ju Jin-Mo,0,0,0,0
The Butcher's Wife,5.4,Comedy,Terry Hughes,Demi Moore,Jeff Daniels,0,0,0,0
Frankenstein,8.7,Drama,Tim Van Someren,Danny Boyle,Benedict Cumberbatch,0,0,0,0
Down with Love,6.3,Comedy,Peyton Reed,Ewan McGregor,RenÃ©e Zellweger,0,0,0,0
Jane Got a Gun,5.9,Action,Gavin O'Connor,Natalie Portman,Joel Edgerton,0,0,0,0
The Confirmation,6.4,Adventure,Bob Nelson,Clive Owen,Maria Bello,0,0,0,0
Cold in July,6.8,Crime,Jim Mickle,Michael C. Hall,Sam Shepard,0,0,0,0
Benji,6.3,Crime,Brandon Camp,Gabriel Bateman,Darby Camp,0,0,0,0
Ngo si seoi,6.9,Action,Jackie Chan,Benny Chan,Michelle Ferre,0,0,0,0
Scandal,6.5,Drama,Michael Caton-Jones,John Hurt,Joanne Whalley,0,0,0,0
Heaven & Earth,6.8,Action,Oliver Stone,Hiep Thi Le,Tommy Lee Jones,0,0,0,0
The Bye Bye Man,4.2,Drama,Stacy Title,Douglas Smith,Lucien Laviscount,0,0,0,0
Deconstructing Harry,7.4,Comedy,Woody Allen,Woody Allen,Judy Davis,0,0,0,0
Apollo 18,5.2,Horror,Gonzalo LÃ³pez-Gallego,Warren Christie,Lloyd Owen,0,0,0,0
Wish Man,7,Biography,Theo Davies,Andrew Steel,Kirby Bliss Blanton,0,0,0,0
Deuce Bigalow: European Gigolo,4.7,Comedy,Mike Bigelow,Rob Schneider,Eddie Griffin,0,0,0,0
The Big Ugly,4.9,Crime,Scott Wiper,Vinnie Jones,Malcolm McDowell,0,0,0,0
Breathless,5.9,Action,Jim McBride,Richard Gere,ValÃ©rie Kaprisky,0,0,0,0
M.F.A.,5.9,Drama,Natalia Leite,Francesca Eastwood,Clifton Collins Jr.,0,0,0,0
Grind,6,Adventure,Casey La Scala,Adam Brody,Joey Kern,0,0,0,0
Interstate 60: Episodes of the Road,7.7,Adventure,Bob Gale,James Marsden,Gary Oldman,0,0,0,0
Department Q: The Absent One,7.1,Crime,Mikkel NÃ¸rgaard,Nikolaj Lie Kaas,Fares Fares,0,0,0,0
Honeymoon,5.7,Drama,Leigh Janiak,Rose Leslie,Harry Treadaway,0,0,0,0
Book of Blood,5.3,Drama,John Harrison,Jonas Armstrong,Sophie Ward,0,0,0,0
Una,6.2,Drama,Benedict Andrews,Ruby Stokes,Rooney Mara,0,0,0,0
Peaceful Warrior,7.3,Drama,Victor Salva,Scott Mechlowicz,Nick Nolte,0,0,0,0
Hamlet,6.7,Drama,Franco Zeffirelli,Mel Gibson,Glenn Close,0,0,0,0
Dirty Teacher,4.7,Drama,Doug Campbell,Josie Davis,Kelcie Stranahan,0,0,0,0
House of Tolerance,6.7,Drama,Bertrand Bonello,NoÃ©mie Lvovsky,Hafsia Herzi,0,0,0,0
Reign of the Supermen,6.8,Animation,Sam Liu,Jerry O'Connell,Rebecca Romijn,0,0,0,0
Ashes of Time,7.1,Action,Kar-Wai Wong,Brigitte Lin,Maggie Cheung,0,0,0,0
Hush,5.5,Drama,Jonathan Darby,Jessica Lange,Gwyneth Paltrow,0,0,0,0
The Night,5.5,Horror,Kourosh Ahari,Shahab Hosseini,Niousha Noor,0,0,0,0
Enigma,6.3,Drama,Michael Apted,Dougray Scott,Kate Winslet,0,0,0,0
The Man,5.6,Action,Les Mayfield,Samuel L. Jackson,Eugene Levy,0,0,0,0
The Tribe,7,Crime,Myroslav Slaboshpytskyi,Hryhoriy Fesenko,Yana Novikova,0,0,0,0
Roped,5.4,Drama,Shaun Paul Piccinino,Josh Swickard,Casper Van Dien,0,0,0,0
Massacre in Dinosaur Valley,5.2,Action,Michele Massimo Tarantini,Michael Sopkiw,Suzane Carvalho,0,0,0,0
Edtv,6.1,Comedy,Ron Howard,Matthew McConaughey,Jenna Elfman,0,0,0,0
He Never Died,6.4,Comedy,Jason Krawczyk,Henry Rollins,Booboo Stewart,0,0,0,0
Jumping the Broom,5.7,Comedy,Salim Akil,Paula Patton,Laz Alonso,0,0,0,0
Ms .45,6.8,Crime,Abel Ferrara,ZoÃ« Lund,Bogey,0,0,0,0
Dog Pound,7,Crime,Kim Chapiron,Adam Butcher,Shane Kippel,0,0,0,0
Outback,5,Drama,Mike Green,Lauren Lofberg,Taylor Wiese,0,0,0,0
The Contender,6.9,Drama,Rod Lurie,Joan Allen,Gary Oldman,0,0,0,0
"Rita, Sue and Bob Too",6.5,Comedy,Alan Clarke,Siobhan Finneran,Michelle Holmes,0,0,0,0
Leprechaun 2,4.6,Comedy,Rodman Flender,Warwick Davis,Charlie Heath,0,0,0,0
Conviction,7.2,Biography,Tony Goldwyn,Hilary Swank,Sam Rockwell,0,0,0,0
Braid,5.3,Crime,Mitzi Peirone,Madeline Brewer,Imogen Waterhouse,0,0,0,0
The Importance of Being Earnest,6.8,Comedy,Oliver Parker,Rupert Everett,Colin Firth,0,0,0,0
She Hate Me,5.3,Comedy,Spike Lee,Anthony Mackie,Kerry Washington,0,0,0,0
Summer Rental,6.3,Comedy,Carl Reiner,John Candy,Richard Crenna,0,0,0,0
The Comedian,5.8,Comedy,Taylor Hackford,Robert De Niro,Leslie Mann,0,0,0,0
Lady Jane,7.1,Biography,Trevor Nunn,Helena Bonham Carter,Cary Elwes,0,0,0,0
Close-Up,8.3,Biography,Abbas Kiarostami,Hossain Sabzian,Mohsen Makhmalbaf,0,0,0,0
Last Moment of Clarity,5.2,Thriller,James Krisel,Colin Krisel,Brian Cox,0,0,0,0
Middle School: The Worst Years of My Life,6.1,Animation,Steve Carr,Griffin Gluck,Lauren Graham,0,0,0,0
Meatballs Part II,3.8,Comedy,Ken Wiederhorn,Richard Mulligan,Hamilton Camp,0,0,0,0
Centigrade,4.3,Drama,none,none,none,0,0,0,0
Evil,7.8,Drama,Mikael HÃ¥fstrÃ¶m,Andreas Wilson,Henrik LundstrÃ¶m,0,0,0,0
Wild Hearts Can't Be Broken,7.3,Drama,Steve Miner,Gabrielle Anwar,Michael Schoeffling,0,0,0,0
Party Monster,6.3,Biography,Randy Barbato,Fenton Bailey,Wilson Cruz,0,0,0,0
The Darkness,4.5,Horror,Greg McLean,Kevin Bacon,Radha Mitchell,0,0,0,0
The Baader Meinhof Complex,7.4,Action,Uli Edel,Martina Gedeck,Moritz Bleibtreu,0,0,0,0
Happy Feet Two,5.9,Animation,Gary Eck,George Miller,Robin Williams,0,0,0,0
Robot Overlords,4.6,Action,Jon Wright,Ben Kingsley,Gillian Anderson,0,0,0,0
Ju-on: The Grudge,6.7,Horror,Takashi Shimizu,Megumi Okina,Misaki ItÃ´,0,0,0,0
Drillbit Taylor,5.7,Action,Steven Brill,Owen Wilson,Josh Peck,0,0,0,0
Vamp,6,Comedy,Richard Wenk,Chris Makepeace,Sandy Baron,0,0,0,0
Wuthering Heights,6.8,Drama,Peter Kosminsky,Juliette Binoche,Ralph Fiennes,0,0,0,0
In Order of Disappearance,7.2,Action,Hans Petter Moland,Stellan SkarsgÃ¥rd,Bruno Ganz,0,0,0,0
The Journey of Natty Gann,7.1,Adventure,Jeremy Kagan,Meredith Salenger,John Cusack,0,0,0,0
Fat Albert,4.3,Comedy,Joel Zwick,Kenan Thompson,Kyla Pratt,0,0,0,0
Rosencrantz & Guildenstern Are Dead,7.4,Comedy,Tom Stoppard,Gary Oldman,Tim Roth,0,0,0,0
Last Holiday,6.5,Adventure,Wayne Wang,Queen Latifah,LL Cool J,0,0,0,0
Cabin Fever,3.7,Horror,Travis Zariwny,Gage Golightly,Matthew Daddario,0,0,0,0
Night Watch,6.4,Action,Timur Bekmambetov,Konstantin Khabenskiy,Vladimir Menshov,0,0,0,0
Fortress,5.9,Action,Stuart Gordon,Christopher Lambert,Loryn Locklin,0,0,0,0
Abigail,4.9,Adventure,Aleksandr Boguslavskiy,Tinatin Dalakishvili,Eddie Marsan,0,0,0,0
The Eye,5.4,Drama,Xavier Palud,David Moreau,Alessandro Nivola,0,0,0,0
Death Wish 3,5.9,Action,Michael Winner,Charles Bronson,Deborah Raffin,0,0,0,0
Ned Kelly,6.5,Action,Gregor Jordan,Heath Ledger,Orlando Bloom,0,0,0,0
Pacific Heights,6.4,Thriller,John Schlesinger,Melanie Griffith,Matthew Modine,0,0,0,0
Who Killed Captain Alex?,8.1,Action,Nabwana I.G.G.,Kakule William,Kakule Wilson,0,0,0,0
Cannonball Run II,5.1,Action,Ralph Bakshi,Hal Needham,Dom DeLuise,0,0,0,0
The Emerald Forest,6.9,Action,John Boorman,Powers Boothe,Meg Foster,0,0,0,0
Blue Sky,6.4,Drama,Tony Richardson,Jessica Lange,Tommy Lee Jones,0,0,0,0
Stephanie,5.8,Horror,Akiva Goldsman,Shree Crooks,Frank Grillo,0,0,0,0
Exit Plan,5.1,Drama,Jonas Alexander Arnby,Nikolaj Coster-Waldau,Tuva Novotny,0,0,0,0
Volunteers,5.6,Adventure,Nicholas Meyer,Tom Hanks,John Candy,0,0,0,0
Empire State,5.2,Action,Dito Montiel,Liam Hemsworth,Michael Angarano,0,0,0,0
Como agua para chocolate,7.1,Drama,Alfonso Arau,Marco Leonardi,Lumi Cavazos,0,0,0,0
The Farm,3.7,Horror,Hans StjernswÃ¤rd,Nora Yessayan,Alec Gaylord,0,0,0,0
Rupture,4.8,Horror,Steven Shainberg,Noomi Rapace,Michael Chiklis,0,0,0,0
Upstream Color,6.7,Drama,Shane Carruth,Amy Seimetz,Frank Mosley,0,0,0,0
Poltergeist III,4.7,Horror,Gary Sherman,Heather O'Rourke,Tom Skerritt,0,0,0,0
Miss Stevens,6.6,Comedy,Julia Hart,Lily Rabe,TimothÃ©e Chalamet,0,0,0,0
In the House,7.4,Drama,FranÃ§ois Ozon,Fabrice Luchini,Vincent Schmitt,0,0,0,0
The Wave,6.1,Sci-Fi,Gille Klabin,Justin Long,Tommy Flanagan,0,0,0,0
War on Everyone,5.8,Action,John Michael McDonagh,Alexander SkarsgÃ¥rd,Michael PeÃ±a,0,0,0,0
Admission,5.7,Comedy,Paul Weitz,Tina Fey,Paul Rudd,0,0,0,0
The Disappearance of Eleanor Rigby: Her,6.9,Drama,Ned Benson,Jessica Chastain,James McAvoy,0,0,0,0
Sex Weather,5,Comedy,Jon Garcia,Al'Jaleel McGhee,Amber Stonebraker,0,0,0,0
Clockwatchers,6.5,Comedy,Jill Sprecher,Toni Collette,Parker Posey,0,0,0,0
Bottled with Love,7.1,Drama,David Weaver,Bethany Joy Lenz,Andrew W. Walker,0,0,0,0
Primal Rage: The Legend of Konga,4.9,Action,Patrick Magee,Casey Gagliardi,Andrew Joseph Montgomery,0,0,0,0
Ghost Story,6.3,Drama,John Irvin,Craig Wasson,Alice Krige,0,0,0,0
Great Balls of Fire!,6.3,Biography,Jim McBride,Dennis Quaid,Winona Ryder,0,0,0,0
I Am Not a Witch,6.9,Comedy,Rungano Nyoni,Maggie Mulubwa,Henry B.J. Phiri,0,0,0,0
Mannequin: On the Move,4.5,Comedy,Stewart Raffill,Kristy Swanson,William Ragsdale,0,0,0,0
Dark Blood,6.4,Thriller,George Sluizer,River Phoenix,Judy Davis,0,0,0,0
Nothing But the Truth,7.2,Crime,Rod Lurie,Kate Beckinsale,Matt Dillon,0,0,0,0
The Brothers Bloom,6.8,Action,Rian Johnson,Rachel Weisz,Adrien Brody,0,0,0,0
The Silence of the Hams,4.8,Comedy,Ezio Greggio,Ezio Greggio,Dom DeLuise,0,0,0,0
Universal Soldier: Day of Reckoning,5,Action,John Hyams,Jean-Claude Van Damme,Dolph Lundgren,0,0,0,0
Something Wild,6.9,Comedy,Jonathan Demme,Jeff Daniels,Melanie Griffith,0,0,0,0
Leatherheads,6,Comedy,George Clooney,George Clooney,RenÃ©e Zellweger,0,0,0,0
The Feels,5.1,Comedy,JenÃ©e LaMarque,Constance Wu,Angela Trimbur,0,0,0,0
Cats,7.4,Musical,David Mallet,Elaine Paige,John Mills,0,0,0,0
Alone in the Dark,2.4,Action,Uwe Boll,Christian Slater,Tara Reid,0,0,0,0
The Fury of a Patient Man,6.8,Action,RaÃºl ArÃ©valo,Antonio de la Torre,Luis Callejo,0,0,0,0
House Party 3,4.7,Comedy,Eric Meza,Christopher Reid,Christopher Martin,0,0,0,0
Nowhere to Run,5.7,Action,Robert Harmon,Jean-Claude Van Damme,Rosanna Arquette,0,0,0,0
L.A. Story,6.7,Comedy,Mick Jackson,Steve Martin,Victoria Tennant,0,0,0,0
Seal Team Six: The Raid on Osama Bin Laden,5.7,Action,Paulette Victor-Lifton,John Stockwell,Jenny Gabrielle,0,0,0,0
All the Pretty Horses,5.8,Drama,Billy Bob Thornton,Matt Damon,PenÃ©lope Cruz,0,0,0,0
One Eight Seven,6.7,Drama,Kevin Reynolds,Samuel L. Jackson,John Heard,0,0,0,0
"Oh, Ramona!",4.9,Comedy,Cristina Jacob,Basil Eidenbenz,Aggy K. Adams,0,0,0,0
Formula 51,6.3,Action,Ronny Yu,Samuel L. Jackson,Robert Carlyle,0,0,0,0
Goat,5.7,Drama,Andrew Neel,Ben Schnetzer,Nick Jonas,0,0,0,0
And the Band Played On,7.8,Drama,Roger Spottiswoode,Matthew Modine,Alan Alda,0,0,0,0
The Boxer,7,Drama,Jim Sheridan,Daniel Day-Lewis,Emily Watson,0,0,0,0
Blood Machines,6.2,Adventure,Seth Ickerman,RaphaÃ«l Hernandez,Anders Heinrichsen,0,0,0,0
Pom Poko,7.3,Animation,Isao Takahata,ShinchÃ´ Kokontei,Makoto Nonomura,0,0,0,0
Le mystÃ¨re Henri Pick,6.7,Comedy,RÃ©mi BezanÃ§on,Fabrice Luchini,Camille Cottin,0,0,0,0
Son of a Gun,6.4,Action,Julius Avery,Ewan McGregor,Brenton Thwaites,0,0,0,0
Sunshine on Leith,6.6,Comedy,Dexter Fletcher,Paul Brannigan,George MacKay,0,0,0,0
Bloody Sunday,7.6,Drama,Paul Greengrass,James Nesbitt,Tim Pigott-Smith,0,0,0,0
The Canyon,5.9,Thriller,Richard Harrah,Eion Bailey,Yvonne Strahovski,0,0,0,0
The Forgotten,5.8,Drama,Joseph Ruben,Julianne Moore,Dominic West,0,0,0,0
Johnny Dangerously,6.6,Comedy,Amy Heckerling,Michael Keaton,Joe Piscopo,0,0,0,0
The Red Turtle,7.5,Animation,Michael Dudok de Wit,Emmanuel Garijo,Tom Hudson,0,0,0,0
Dog Eat Dog,4.7,Action,Paul Schrader,Nicolas Cage,Willem Dafoe,0,0,0,0
Love Me If You Dare,7.6,Comedy,Yann Samuell,Guillaume Canet,Marion Cotillard,0,0,0,0
See You Yesterday,5.2,Action,Stefon Bristol,Eden Duncan-Smith,Dante Crichlow,0,0,0,0
The Madness of King George,7.2,Biography,Nicholas Hytner,Nigel Hawthorne,Helen Mirren,0,0,0,0
Spanking the Monkey,6.2,Comedy,David O. Russell,Jeremy Davies,Alberta Watson,0,0,0,0
Bahut Hua Sammaan,7.2,Comedy,Ashish R. Shukla,Sanjay Mishra,Ram Kapoor,0,0,0,0
A Dark Song,6.2,Drama,Liam Gavin,Steve Oram,Catherine Walker,0,0,0,0
American Wrestler: The Wizard,7.2,Drama,Alex Ranarivelo,George Kosturos,William Fichtner,0,0,0,0
The Worst Witch,7.1,Comedy,Robert Young,Diana Rigg,Charlotte Rae,0,0,0,0
The Company You Keep,6.4,Drama,Robert Redford,Robert Redford,Brit Marling,0,0,0,0
The Queen of Black Magic,6.6,Horror,Kimo Stamboel,Ario Bayu,Hannah Al Rashid,0,0,0,0
Jallikattu,7.5,Action,Lijo Jose Pellissery,Antony Varghese,Chemban Vinod Jose,0,0,0,0
Blood and Wine,6,Crime,Bob Rafelson,Jack Nicholson,Michael Caine,0,0,0,0
Sniper: Ultimate Kill,5.6,Action,Claudio FÃ¤h,Chad Michael Collins,Danay Garcia,0,0,0,0
Long Day's Journey Into Night,7.2,Drama,Bi Gan,Tang Wei,Jue Huang,0,0,0,0
Urban Legends: Final Cut,4.4,Horror,John Ottman,Jennifer Morrison,Matthew Davis,0,0,0,0
Blue My Mind,6.1,Drama,Lisa BrÃ¼hlmann,Luna Wedler,ZoÃ« Pastelle Holthuizen,0,0,0,0
Seven Minutes in Heaven,6.1,Comedy,Linda Feferman,Jennifer Connelly,Byron Thames,0,0,0,0
Tart,4.8,Crime,Christina Wayne,Dominique Swain,Brad Renfro,0,0,0,0
Rising Sun,6.3,Action,Philip Kaufman,Sean Connery,Wesley Snipes,0,0,0,0
Victor Crowley,5.5,Action,Adam Green,Parry Shen,Kane Hodder,0,0,0,0
Rockstar,7.7,Drama,Imtiaz Ali,Ranbir Kapoor,Nargis Fakhri,0,0,0,0
Death Wish II,6.1,Action,Michael Winner,Charles Bronson,Jill Ireland,0,0,0,0
Irreplaceable You,6.4,Comedy,Stephanie Laing,Gugu Mbatha-Raw,Michiel Huisman,0,0,0,0
Nemesis,5.4,Action,Albert Pyun,Olivier Gruner,Tim Thomerson,0,0,0,0
The Humanity Bureau,4.6,Sci-Fi,Rob W. King,Nicolas Cage,Sarah Lind,0,0,0,0
Dear White People,6.1,Comedy,Justin Simien,Tyler James Williams,Tessa Thompson,0,0,0,0
Mrs. Winterbourne,6.2,Comedy,Richard Benjamin,Shirley MacLaine,Ricki Lake,0,0,0,0
Lootcase,7.6,Comedy,Rajesh Krishnan,Kunal Khemu,Rasika Dugal,0,0,0,0
Vampire in Brooklyn,4.6,Comedy,Wes Craven,Eddie Murphy,Angela Bassett,0,0,0,0
A Kind of Murder,5.3,Crime,Andy Goddard,Patrick Wilson,Jessica Biel,0,0,0,0
Trafficked,5.7,Drama,Will Wallace,Ashley Judd,Brian Thompson,0,0,0,0
Daniel,7.8,Drama,Anders W. Berthelsen,Niels Arden Oplev,Toby Kebbell,0,0,0,0
Mafia!,5.7,Comedy,Jim Abrahams,Jay Mohr,Christina Applegate,0,0,0,0
Flashbacks of a Fool,6.8,Drama,Baillie Walsh,Daniel Craig,Harry Eden,0,0,0,0
Alligator,6,Horror,Lewis Teague,Robert Forster,Robin Riker,0,0,0,0
The Mighty,7.3,Comedy,Peter Chelsom,Kieran Culkin,Elden Henson,0,0,0,0
Brain Damage,6.6,Comedy,Frank Henenlotter,Rick Hearst,Gordon MacDonald,0,0,0,0
Kings,5.1,Crime,Deniz Gamze ErgÃ¼ven,Halle Berry,Daniel Craig,0,0,0,0
View from the Top,5.3,Comedy,Bruno Barreto,Gwyneth Paltrow,Christina Applegate,0,0,0,0
Funhouse,5.4,Horror,Jason William Lee,Valter SkarsgÃ¥rd,Khamisa Wilsher,0,0,0,0
Sobibor,6.4,Drama,Konstantin Khabenskiy,Konstantin Khabenskiy,Christopher Lambert,0,0,0,0
The Devil's Candy,6.4,Drama,Sean Byrne,Ethan Embry,Shiri Appleby,0,0,0,0
A Street Cat Named Bob,7.4,Biography,Roger Spottiswoode,Luke Treadaway,Bob the Cat,0,0,0,0
CBGB,6.6,Crime,R. Martin Miller,Alan Rickman,Malin Akerman,0,0,0,0
Fred: The Movie,2,Adventure,Clay Weiner,Lucas Cruikshank,Pixie Lott,0,0,0,0
7 Days in Hell,7.1,Comedy,Jake Szymanski,Andy Samberg,Kit Harington,0,0,0,0
Resident Evil: Vendetta,6.3,Animation,Takanori Tsujimoto,Kevin Dorman,Matthew Mercer,0,0,0,0
The Hole,5.7,Fantasy,Joe Dante,Chris Massoglia,Haley Bennett,0,0,0,0
The Photographer of Mauthausen,6.7,Biography,Mar Targarona,Mario Casas,Richard van Weyden,0,0,0,0
Please Stand By,6.7,Adventure,Ben Lewin,Dakota Fanning,Alice Eve,0,0,0,0
Mission of Honor,5.9,Action,David Blair,Iwan Rheon,Milo Gibson,0,0,0,0
Running for Grace,6.2,Family,David L. Cunningham,Jim Caviezel,Matt Dillon,0,0,0,0
Anna and the King,6.7,Drama,Andy Tennant,Jodie Foster,Chow Yun-Fat,0,0,0,0
Brideshead Revisited,6.7,Drama,Julian Jarrold,Matthew Goode,Patrick Malahide,0,0,0,0
Screwballs,4.6,Comedy,Rafal Zielinski,Peter Keleghan,Kent Deuters,0,0,0,0
Darbareye Elly,8,Drama,Asghar Farhadi,Golshifteh Farahani,Shahab Hosseini,0,0,0,0
Sink or Swim,7,Comedy,Gilles Lellouche,Mathieu Amalric,Guillaume Canet,0,0,0,0
Halloween 5: The Revenge of Michael Myers,5.1,Horror,Dominique Othenin-Girard,Donald Pleasence,Danielle Harris,0,0,0,0
Eddie and the Cruisers,7,Drama,Martin Davidson,Tom Berenger,Michael ParÃ©,0,0,0,0
Prozac Nation,6.3,Biography,Erik SkjoldbjÃ¦rg,Christina Ricci,Jonathan Rhys Meyers,0,0,0,0
Dreams,7.8,Drama,IshirÃ´ Honda,Akira Kurosawa,Mitsuko BaishÃ´,0,0,0,0
Crocodile Dundee in Los Angeles,4.8,Action,Simon Wincer,Paul Hogan,Linda Kozlowski,0,0,0,0
Hollywood Homicide,5.4,Action,Ron Shelton,Harrison Ford,Josh Hartnett,0,0,0,0
Dark Was the Night,5.6,Drama,Jack Heller,Kevin Durand,Lukas Haas,0,0,0,0
Vice,4.2,Action,Brian A. Miller,Thomas Jane,Bruce Willis,0,0,0,0
High Road to China,6.1,Adventure,Brian G. Hutton,Tom Selleck,Bess Armstrong,0,0,0,0
Celda 211,7.6,Action,Daniel MonzÃ³n,Luis Tosar,Alberto Ammann,0,0,0,0
Open Water 2: Adrift,5.2,Adventure,Hans Horn,Susan May Pratt,Richard Speight Jr.,0,0,0,0
Rendition,6.8,Drama,Gavin Hood,Reese Witherspoon,Jake Gyllenhaal,0,0,0,0
Queen Margot,7.4,Biography,Patrice ChÃ©reau,Isabelle Adjani,Daniel Auteuil,0,0,0,0
I Want Candy,5.4,Comedy,Stephen Surjik,Tom Riley,Tom Burke,0,0,0,0
Laurel Canyon,6.4,Drama,Lisa Cholodenko,Frances McDormand,Alessandro Nivola,0,0,0,0
Inseminoid,3.9,Horror,Norman J. Warren,Robin Clarke,Jennifer Ashley,0,0,0,0
Emma,7,Comedy,Diarmuid Lawrence,Kate Beckinsale,Bernard Hepton,0,0,0,0
Jennifer 8,6.3,Crime,Bruce Robinson,Andy Garcia,Uma Thurman,0,0,0,0
Twin Murders: The Silence of the White City,5.2,Action,Daniel Calparsoro,BelÃ©n Rueda,Javier Rey,0,0,0,0
Proof,6.7,Drama,John Madden,Gwyneth Paltrow,Anthony Hopkins,0,0,0,0
Nicholas Nickleby,7.1,Adventure,Douglas McGrath,Charlie Hunnam,Jamie Bell,0,0,0,0
Elles,5.6,Drama,Malgorzata Szumowska,Juliette Binoche,AnaÃ¯s Demoustier,0,0,0,0
Remember,7.5,Drama,Atom Egoyan,Christopher Plummer,Kim Roberts,0,0,0,0
Fair Game,4.3,Action,Andrew Sipes,William Baldwin,Cindy Crawford,0,0,0,0
Mansfield Park,6.3,Drama,Iain B. MacDonald,Julia Joyce,Douglas Hodge,0,0,0,0
Spider,6.8,Drama,David Cronenberg,Ralph Fiennes,Miranda Richardson,0,0,0,0
Never Die Alone,5.7,Action,Ernest R. Dickerson,DMX,David Arquette,0,0,0,0
Southbound,5.9,Horror,Matt Bettinelli-Olpin,Roxanne Benjamin,Tyler Gillett,0,0,0,0
Frozen River,7.1,Crime,Courtney Hunt,Melissa Leo,Misty Upham,0,0,0,0
The Secret Scripture,6.7,Drama,Jim Sheridan,Eric Bana,Rooney Mara,0,0,0,0
Dead End,6.6,Adventure,Fabrice Canepa,Jean-Baptiste Andrea,Lin Shaye,0,0,0,0
High Art,6.6,Drama,Lisa Cholodenko,Radha Mitchell,Ally Sheedy,0,0,0,0
All the King's Men,6.2,Drama,Steven Zaillian,Sean Penn,Jude Law,0,0,0,0
The Hollars,6.6,Comedy,John Krasinski,Sharlto Copley,Charlie Day,0,0,0,0
And Soon the Darkness,5.2,Drama,Marcos Efron,Amber Heard,Odette Annable,0,0,0,0
Once Upon a Time in Anatolia,7.9,Crime,Nuri Bilge Ceylan,Muhammet Uzuner,Yilmaz Erdogan,0,0,0,0
Lean on Pete,7.2,Adventure,Andrew Haigh,Charlie Plummer,Amy Seimetz,0,0,0,0
Death Warrant,5.7,Action,Deran Sarafian,Jean-Claude Van Damme,Robert Guillaume,0,0,0,0
The Collini Case,7.2,Crime,Marco Kreuzpaintner,Elyas M'Barek,Alexandra Maria Lara,0,0,0,0
Demain tout commence,7.4,Comedy,Hugo GÃ©lin,Omar Sy,ClÃ©mence PoÃ©sy,0,0,0,0
Stop! Or My Mom Will Shoot,4.4,Action,Roger Spottiswoode,Sylvester Stallone,Estelle Getty,0,0,0,0
Judgment Night,6.7,Action,Stephen Hopkins,Emilio Estevez,Cuba Gooding Jr.,0,0,0,0
The Osiris Child,5.6,Action,Shane Abbess,Kellan Lutz,Daniel MacPherson,0,0,0,0
The Dream Team,6.6,Comedy,Howard Zieff,Michael Keaton,Christopher Lloyd,0,0,0,0
Heaven Knows What,6.8,Crime,Josh Safdie,Benny Safdie,Caleb Landry Jones,0,0,0,0
The Reaping,5.6,Horror,Stephen Hopkins,Hilary Swank,David Morrissey,0,0,0,0
City Hunter,6.5,Action,Philippe Lacheau,Philippe Lacheau,Ãlodie Fontan,0,0,0,0
