Movie,Rating,Genre,Director,Actor1,Actor2,Budget,Revenue_US,Revenue_World,Date
Ted 2,6.3,Comedy,Seth MacFarlane,Mark Wahlberg,Seth MacFarlane,68000000,81476385,217214143,26-Jun-15
Teen Titans Go! To the Movies,6.8,Animation,Peter Rida Michail,Aaron Horvath,Scott Menville,10000000,29790236,51620593,27-Jul-18
Teenage Mutant Ninja Turtles,5.8,Action,Jonathan Liebesman,Megan Fox,Will Arnett,125000000,191204754,485004754,8-Aug-14
Teenage Mutant Ninja Turtles: Out of the Shadows,6,Action,Dave Green,Megan Fox,Will Arnett,135000000,82051601,245328374,3-Jun-16
Teeth,5.4,Comedy,Mitchell Lichtenstein,Jess Weixler,John Hensley,2000000,347578,2350641,18-Jan-08
Terminator 3: Rise of the Machines,6.3,Action,Jonathan Mostow,Arnold Schwarzenegger,Nick Stahl,170000000,150358296,433058296,1-Jul-03
Terminator Salvation,6.6,Action,McG,Christian Bale,Sam Worthington,200000000,125322469,365491792,21-May-09
Testament of Youth,7.3,Biography,James Kent,Alicia Vikander,Kit Harington,10000000,1822250,6646669,5-Jun-15
Texas Chainsaw 3D,4.8,Horror,John Luessenhop,Alexandra Daddario,Tania Raymonde,20000000,34341945,47666013,4-Jan-13
Texas Rangers,5.2,Action,Steve Miner,James Van Der Beek,Rachael Leigh Cook,38000000,623374,623374,30-Nov-01
Thank You for Smoking,7.6,Comedy,Jason Reitman,Aaron Eckhart,Cameron Bright,7500000,24793509,40016662,17-Mar-06
Thank You for Your Service,6.5,Biography,Jason Hall,Miles Teller,Beulah Koale,20000000,9479390,9985316,27-Oct-17
That Awkward Moment,6.1,Comedy,Tom Gormican,Zac Efron,Michael B. Jordan,8000000,26068955,53068955,31-Jan-14
That's My Boy,5.5,Comedy,Sean Anders,Adam Sandler,Andy Samberg,57500000,36931089,58085235,15-Jun-12
The 15:17 to Paris,5.2,Biography,Clint Eastwood,Alek Skarlatos,Anthony Sadler,30000000,36276286,56096200,9-Feb-18
The 33,6.9,Biography,Patricia Riggen,Antonio Banderas,Rodrigo Santoro,25000000,12227722,28400715,13-Nov-15
The 5th Wave,5.2,Action,J Blakeson,Chlo��_��_ Grace Moretz,Matthew Zuk,38000000,34912982,111336398,22-Jan-16
The 6th Day,5.9,Action,Roger Spottiswoode,Arnold Schwarzenegger,Michael Rapaport,82000000,34543701,96024898,17-Nov-00
The A-Team,6.7,Action,Joe Carnahan,Liam Neeson,Bradley Cooper,110000000,77222099,177241171,11-Jun-10
The Accountant,7.3,Action,Gavin O'Connor,Ben Affleck,Anna Kendrick,40000000,86260045,152962083,14-Oct-16
The Adjustment Bureau,7.1,Romance,George Nolfi,Matt Damon,Emily Blunt,50200000,62495645,126931325,4-Mar-11
The Adventurer: The Curse of the Midas Box,5.4,Adventure,Jonathan Newman,Aneurin Barnard,Michael Sheen,25000000,0,0,10-Jan-14
The Adventures of Pluto Nash,3.8,Comedy,Ron Underwood,Eddie Murphy,Jay Mohr,100000000,4411102,7094995,16-Aug-02
The Adventures of Rocky & Bullwinkle,4.2,Animation,Des McAnuff,Robert De Niro,Rene Russo,76000000,26000610,35129610,30-Jun-00
